step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
136,PAYMENT,13382.29,0.0,0.0,0.0,0.0,0,0
252,CASH_IN,4859.63,4106822.89,4111682.52,251879.35,247019.72,0,0
41,TRANSFER,518339.83,0.0,0.0,7554201.05,8072540.88,0,0
39,TRANSFER,451310.12,54987.0,0.0,974842.68,1797288.53,0,0
346,CASH_IN,161121.07,1888481.45,2049602.52,412090.16,250969.1,0,0
644,CASH_OUT,49364.07,41623.0,0.0,158009.13,207373.19,0,0
374,CASH_IN,92119.49,3297740.33,3389859.82,1950696.11,1858576.62,0,0
355,CASH_IN,282508.76,23379.0,305887.76,66891.81,0.0,0,0
236,TRANSFER,813462.62,153223.0,0.0,67479.59,880942.21,0,0
307,CASH_OUT,53797.94,113452.0,59654.06,309554.38,363352.32,0,0
225,PAYMENT,82797.84,31931.0,0.0,0.0,0.0,0,0
40,CASH_OUT,529508.88,8049.0,0.0,0.0,529508.88,0,0
303,PAYMENT,13763.87,0.0,0.0,0.0,0.0,0,0
350,PAYMENT,13176.51,0.0,0.0,0.0,0.0,0,0
335,PAYMENT,58760.91,480859.24,422098.33,0.0,0.0,0,0
322,DEBIT,1096.42,11227.0,10130.58,1013259.91,1014356.33,0,0
232,CASH_OUT,42843.05,0.0,0.0,3758226.36,3801069.41,0,0
227,CASH_IN,74833.8,1392489.11,1467322.91,158074.64,83240.85,0,0
301,CASH_IN,206764.77,1767.0,208531.77,774962.57,568197.8,0,0
399,CASH_OUT,164032.21,227653.0,63620.79,0.0,164032.21,0,0
590,PAYMENT,9296.83,0.0,0.0,0.0,0.0,0,0
255,CASH_OUT,235731.9,14954.0,0.0,2981264.46,3216996.36,0,0
187,CASH_OUT,142259.85,22861.0,0.0,211427.16,353687.02,0,0
356,PAYMENT,8164.01,0.0,0.0,0.0,0.0,0,0
348,CASH_IN,95263.11,7356221.51,7451484.62,143134.82,47871.71,0,0
300,CASH_IN,249585.52,12086210.8,12335796.32,468270.14,218684.62,0,0
177,CASH_IN,396792.55,793.0,397585.55,0.0,0.0,0,0
201,PAYMENT,15068.73,0.0,0.0,0.0,0.0,0,0
184,CASH_OUT,440773.08,0.0,0.0,1138196.74,1578969.82,0,0
155,PAYMENT,14298.25,0.0,0.0,0.0,0.0,0,0
185,CASH_IN,78108.5,16856365.12,16934473.62,238095.59,159987.08,0,0
249,PAYMENT,12596.61,0.0,0.0,0.0,0.0,0,0
177,CASH_IN,31141.94,1362949.88,1394091.82,1669373.11,1638231.17,0,0
373,PAYMENT,1251.94,0.0,0.0,0.0,0.0,0,0
382,PAYMENT,1068.21,4006.95,2938.74,0.0,0.0,0,0
95,CASH_IN,455834.18,563701.88,1019536.06,2838201.48,2382367.3,0,0
132,PAYMENT,14511.02,0.0,0.0,0.0,0.0,0,0
322,CASH_OUT,28591.42,0.0,0.0,1211089.44,1239680.86,0,0
19,CASH_IN,193890.52,26921.0,220811.52,232872.2,38981.68,0,0
129,CASH_OUT,129041.74,265.0,0.0,0.0,129041.74,0,0
132,CASH_OUT,215925.55,0.0,0.0,411942.41,627867.96,0,0
183,CASH_OUT,136964.13,0.0,0.0,3926844.12,4063808.26,0,0
44,PAYMENT,3551.26,843.47,0.0,0.0,0.0,0,0
7,TRANSFER,1331086.47,15432.0,0.0,59949.22,1313362.94,0,0
393,CASH_OUT,244211.66,0.0,0.0,880497.39,1124709.04,0,0
206,PAYMENT,2901.96,56324.0,53422.04,0.0,0.0,0,0
396,CASH_OUT,386669.45,0.0,0.0,699568.7,1488239.23,0,0
157,PAYMENT,24104.54,0.0,0.0,0.0,0.0,0,0
204,CASH_IN,265293.29,351.0,265644.29,2215022.18,1949728.89,0,0
18,CASH_OUT,619.31,965806.14,965186.83,0.0,619.31,0,0
306,TRANSFER,875582.25,94595.97,0.0,9622156.32,10497738.57,0,0
330,CASH_OUT,54330.72,0.0,0.0,176658.69,230989.41,0,0
249,PAYMENT,13344.1,7292.0,0.0,0.0,0.0,0,0
289,PAYMENT,8579.34,20366.0,11786.66,0.0,0.0,0,0
46,CASH_OUT,163051.33,15392.0,0.0,2463135.58,2626186.91,0,0
301,CASH_IN,110568.66,2056769.3,2167337.96,175630.33,65061.66,0,0
154,PAYMENT,22434.71,10420.14,0.0,0.0,0.0,0,0
10,CASH_OUT,313664.24,0.0,0.0,9150645.97,9464310.21,0,0
208,CASH_OUT,125991.42,7310.0,0.0,822675.7,950520.3,0,0
349,CASH_OUT,93496.01,0.0,0.0,2087164.19,2180660.2,0,0
156,CASH_IN,113147.72,3985489.64,4098637.36,213116.03,99968.31,0,0
208,TRANSFER,437371.03,0.0,0.0,564026.21,1001397.24,0,0
18,PAYMENT,7848.71,196040.06,188191.35,0.0,0.0,0,0
253,CASH_IN,296870.15,13201.0,310071.15,118599.44,0.0,0,0
395,CASH_IN,46773.06,7600788.34,7647561.4,3521517.05,3474744.0,0,0
328,CASH_IN,106799.55,876341.87,983141.42,980615.68,873816.13,0,0
278,TRANSFER,327534.3,0.0,0.0,1067390.45,1394924.75,0,0
518,TRANSFER,153990.5,201778.0,47787.5,0.0,153990.5,0,0
42,TRANSFER,935639.61,89771.37,0.0,2037867.29,2973506.9,0,0
258,CASH_OUT,423808.74,0.0,0.0,755968.04,1179776.78,0,0
164,PAYMENT,12209.45,16901.0,4691.55,0.0,0.0,0,0
353,CASH_IN,220141.98,10089.0,230230.98,1352478.87,1132336.88,0,0
34,CASH_IN,320395.22,1158528.94,1478924.15,405213.09,13592.78,0,0
140,PAYMENT,5222.23,30296.0,25073.77,0.0,0.0,0,0
233,PAYMENT,29279.51,0.0,0.0,0.0,0.0,0,0
255,PAYMENT,206.84,25968.18,25761.34,0.0,0.0,0,0
137,CASH_OUT,71997.46,0.0,0.0,594918.75,666916.22,0,0
15,CASH_OUT,135411.69,0.0,0.0,1182915.15,1318326.84,0,0
210,TRANSFER,68324.55,0.0,0.0,324774.11,393098.67,0,0
129,CASH_IN,29158.25,480.0,29638.25,72959.23,43800.99,0,0
154,CASH_IN,297656.83,1018457.76,1316114.59,841526.89,543870.06,0,0
275,CASH_OUT,156765.52,0.0,0.0,383977.55,540743.07,0,0
683,CASH_OUT,93483.23,93483.23,0.0,86882.3,180365.53,1,0
43,CASH_OUT,218440.55,52085.0,0.0,0.0,218440.55,0,0
402,PAYMENT,14872.25,276972.22,262099.98,0.0,0.0,0,0
300,PAYMENT,25540.34,50002.0,24461.66,0.0,0.0,0,0
41,PAYMENT,336.46,50076.0,49739.54,0.0,0.0,0,0
216,CASH_OUT,46031.43,0.0,0.0,255950.5,301981.94,0,0
40,CASH_OUT,144153.46,27764.0,0.0,0.0,144153.46,0,0
186,CASH_OUT,378955.73,0.0,0.0,834854.48,1213810.2,0,0
234,PAYMENT,17147.59,12154.0,0.0,0.0,0.0,0,0
349,PAYMENT,48213.75,5866.0,0.0,0.0,0.0,0,0
41,CASH_IN,210391.93,11016371.05,11226762.98,336890.42,126498.49,0,0
160,PAYMENT,5718.88,6731.0,1012.12,0.0,0.0,0,0
138,CASH_IN,141273.15,24639886.52,24781159.68,484939.6,219172.46,0,0
229,PAYMENT,4962.99,14752.0,9789.01,0.0,0.0,0,0
177,CASH_IN,242090.12,17528542.66,17770632.78,319311.17,77221.05,0,0
155,PAYMENT,1854.44,0.0,0.0,0.0,0.0,0,0
187,CASH_IN,78860.27,22076.0,100936.27,611984.08,533123.81,0,0
234,PAYMENT,5392.12,10831.0,5438.88,0.0,0.0,0,0
177,PAYMENT,17076.51,0.0,0.0,0.0,0.0,0,0
37,CASH_OUT,90723.94,0.0,0.0,443762.91,534486.84,0,0
500,CASH_OUT,111054.72,0.0,0.0,469056.05,580110.77,0,0
138,CASH_OUT,25884.0,0.0,0.0,914340.08,940224.07,0,0
131,CASH_OUT,35472.9,62054.0,26581.1,20758.0,0.0,0,0
330,PAYMENT,34917.61,0.0,0.0,0.0,0.0,0,0
393,PAYMENT,38264.08,0.0,0.0,0.0,0.0,0,0
395,CASH_OUT,378992.97,20817.0,0.0,2824674.08,3203667.05,0,0
163,CASH_OUT,318738.99,20646.0,0.0,108693.67,427432.66,0,0
140,CASH_OUT,122363.61,10332.0,0.0,2253089.4,2375453.01,0,0
137,CASH_OUT,145029.16,0.0,0.0,377126.48,522155.64,0,0
348,CASH_OUT,140162.25,0.0,0.0,279167.7,419329.95,0,0
589,PAYMENT,23715.07,18776.87,0.0,0.0,0.0,0,0
303,CASH_OUT,75987.34,0.0,0.0,292097.62,368084.95,0,0
231,CASH_IN,267612.19,22636.0,290248.19,1686430.16,1418817.97,0,0
258,PAYMENT,8360.75,0.0,0.0,0.0,0.0,0,0
306,CASH_OUT,143963.11,0.0,0.0,11154493.77,11298456.88,0,0
35,CASH_IN,143114.75,25591748.33,25734863.08,469426.51,326311.76,0,0
211,CASH_IN,207918.1,1050179.99,1258098.09,351463.09,143545.0,0,0
596,CASH_OUT,57695.35,51.0,0.0,153877.17,211572.52,0,0
375,PAYMENT,12460.31,1376.0,0.0,0.0,0.0,0,0
157,CASH_IN,52551.05,2000991.33,2053542.38,834048.33,781497.28,0,0
139,CASH_OUT,56449.99,104427.02,47977.03,192809.72,249259.71,0,0
352,PAYMENT,16532.0,0.0,0.0,0.0,0.0,0,0
40,CASH_OUT,148331.79,475903.82,327572.03,61167.64,209499.44,0,0
185,PAYMENT,5021.82,64831.0,59809.18,0.0,0.0,0,0
522,CASH_OUT,195002.03,0.0,0.0,236462.56,431464.59,0,0
138,CASH_OUT,100099.26,10005.0,0.0,4189905.71,4290004.97,0,0
37,CASH_OUT,120193.92,41797.0,0.0,0.0,120193.92,0,0
160,PAYMENT,8452.42,0.0,0.0,0.0,0.0,0,0
684,TRANSFER,4126119.93,344527.0,0.0,446963.89,4573083.81,0,0
228,PAYMENT,40925.8,34424.0,0.0,0.0,0.0,0,0
354,PAYMENT,44871.04,41272.0,0.0,0.0,0.0,0,0
496,CASH_IN,233176.05,1147528.71,1380704.76,550144.16,316968.11,0,0
308,PAYMENT,10503.54,0.0,0.0,0.0,0.0,0,0
14,CASH_IN,11500.21,2001427.04,2012927.25,2416331.82,2404831.61,0,0
236,CASH_OUT,58148.24,533764.0,475615.76,11043.65,69191.89,0,0
202,CASH_OUT,29475.22,16010.0,0.0,57237.02,86712.23,0,0
251,CASH_IN,303337.36,10445.0,313782.36,334579.67,31242.31,0,0
377,CASH_OUT,63328.89,30763.0,0.0,7712846.43,7776175.32,0,0
189,CASH_OUT,298903.91,0.0,0.0,9066528.27,9172364.74,0,0
205,CASH_OUT,148433.99,179171.07,30737.08,1977523.36,2125957.35,0,0
283,CASH_IN,136777.48,3107370.08,3244147.56,407041.19,270263.71,0,0
346,CASH_OUT,177095.18,558320.0,381224.82,1068329.59,1245424.77,0,0
399,CASH_OUT,190472.15,12127.0,0.0,54466.26,244938.41,0,0
207,CASH_IN,29707.73,11512446.86,11542154.59,47771.23,18063.5,0,0
237,CASH_OUT,178844.4,0.0,0.0,672401.4,851245.8,0,0
303,CASH_IN,124911.67,101111.0,226022.67,56236.36,0.0,0,0
17,PAYMENT,13589.33,0.0,0.0,0.0,0.0,0,0
354,TRANSFER,97301.71,31239.0,0.0,36857953.61,36955255.33,0,0
213,CASH_IN,181162.39,7396840.47,7578002.87,400008.3,218845.9,0,0
380,CASH_IN,105621.61,25024811.37,25130432.98,2360361.22,2254739.61,0,0
205,CASH_OUT,147943.65,7062.0,0.0,0.0,147943.65,0,0
353,CASH_IN,380803.25,61171.0,441974.25,215079.66,0.0,0,0
692,PAYMENT,361.53,0.0,0.0,0.0,0.0,0,0
9,CASH_IN,364810.85,2318126.43,2682937.28,9940322.17,9204546.58,0,0
324,CASH_IN,45045.18,512205.0,557250.18,0.0,0.0,0,0
182,CASH_OUT,609216.86,15281.0,0.0,0.0,609216.86,0,0
162,CASH_OUT,147973.64,0.0,0.0,657197.05,805170.69,0,0
231,PAYMENT,8363.79,21153.0,12789.21,0.0,0.0,0,0
164,CASH_OUT,44326.32,900.0,0.0,0.0,44326.32,0,0
140,CASH_IN,42441.15,23919.0,66360.15,30865.74,0.0,0,0
42,TRANSFER,62545.94,0.0,0.0,605699.22,668245.16,0,0
287,PAYMENT,18492.44,726.0,0.0,0.0,0.0,0,0
188,PAYMENT,13755.82,243465.86,229710.04,0.0,0.0,0,0
158,PAYMENT,15330.4,747.0,0.0,0.0,0.0,0,0
301,CASH_OUT,76188.59,10926.0,0.0,286138.53,362327.13,0,0
134,CASH_OUT,324049.09,258403.0,0.0,334966.91,947219.25,0,0
258,PAYMENT,15785.4,25046.0,9260.6,0.0,0.0,0,0
94,CASH_OUT,180064.21,14857.0,0.0,375301.31,555365.52,0,0
375,CASH_OUT,134423.79,0.0,0.0,1278805.88,1413229.66,0,0
